SELECT n.NodeId, n.ParentNodeId, n.IsSystem, n.NodeTypeId, v.Type, n.Name FROM NodeInfoView v JOIN Nodes n ON v.NodeId = n.NodeId ORDER BY NodeId
NodeId	ParentNodeId	IsSystem	NodeTypeId	Type	Name
1128	1006	1	9	ContentType	Profiles
1129	1028	1	9	ContentType	ProjectWorkspace
1130	1006	1	9	ContentType	ProjectWorkspaceFolder
1131	1005	1	9	ContentType	PublicRegistrationConfig
1132	1005	1	9	ContentType	Query
1133	1026	1	9	ContentType	ReferenceFieldSetting
1134	1005	1	9	ContentType	User
1135	1134	1	9	ContentType	RegisteredUser
1136	1015	1	9	ContentType	RegistrationWorkflow
1137	1011	1	9	ContentType	Resource
1138	1122	1	9	ContentType	Resources
1139	1013	1	9	ContentType	RssApplication
1140	1006	1	9	ContentType	RuntimeContentContainer
1141	1028	1	9	ContentType	SalesWorkspace
1142	1006	1	9	ContentType	SalesWorkspaceFolder
1143	1028	1	9	ContentType	Site
1144	1006	1	9	ContentType	Sites
1145	1122	1	9	ContentType	Skin
1146	1122	1	9	ContentType	Skins
1147	1017	1	9	ContentType	SliderItem
1148	1005	1	9	ContentType	Subscription
1149	1047	1	9	ContentType	Survey
1150	1017	1	9	ContentType	SurveyItem
1151	1047	1	9	ContentType	SurveyList
1152	1017	1	9	ContentType	SurveyListItem
1153	1005	1	9	ContentType	Tag
1154	1047	1	9	ContentType	TaskList
1155	1028	1	9	ContentType	TeamWorkspace
1156	1006	1	9	ContentType	TrashBag
1157	1028	1	9	ContentType	TrashBin
1158	1028	1	9	ContentType	UserProfile
1159	1005	1	9	ContentType	UserSearch
1160	1008	1	9	ContentType	Video
1161	1149	1	9	ContentType	Voting
1162	1017	1	9	ContentType	VotingItem
1163	1020	1	9	ContentType	WebContentDemo
1164	1013	1	9	ContentType	WebServiceApplication
1165	1005	1	9	ContentType	WikiArticle
1166	1028	1	9	ContentType	Wiki
1167	1008	1	9	ContentType	WorkflowDefinition
1168	1026	1	9	ContentType	XmlFieldSetting
1169	1013	1	9	ContentType	XsltApplication
1170	1036	1	9	ContentType	YesNoFieldSetting
